source_file,simulation_id,scan_point,thickness[µm],v(V),jtot(mA/cm2),j_total_rec(mA/cm2),j_total_gen(mA/cm2),jbulk(mA/cm2),jifr(mA/cm2),jminor_left(mA/cm2),jminor_right(mA/cm2),j_SRH(mA/cm2),j_Radiative(mA/cm2),j_Auger(mA/cm2),Voc,Jsc,FF,eta,V_MPP,J_MPP
thickness.iv,2,15,0.5408,0.129709,30.0582215,2.67709045,33.0347316,0.0929807608,2.44213054,0.128545357,0.0134337927,0.0927300864,0.000250674482,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,16,0.5408,0.150151,29.9698943,2.74541742,33.0347316,0.0956656972,2.50776391,0.128550348,0.0134374681,0.0953861535,0.000279543696,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,17,0.5408,0.170605,29.8789221,2.8163894,33.0347316,0.0985440749,2.5758491,0.12855531,0.0134409152,0.0982321651,0.000311909848,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,18,0.5408,0.191074,29.7851662,2.89014501,33.0347316,0.101637487,2.64650314,0.128560244,0.0134441376,0.101289301,0.000348186152,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,19,0.5408,0.211558,29.6884671,2.96684382,33.0347316,0.104970461,2.71986106,0.12856515,0.0134471407,0.104581626,0.000388835579,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,20,0.5408,0.232057,29.5886411,3.04666948,33.0347316,0.108571037,2.79607849,0.128570026,0.013449931,0.108136658,0.000434378653,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,21,0.5408,0.252573,29.4854768,3.1298333,33.0347316,0.112471525,2.87533439,0.128574873,0.0134525162,0.111986122,0.000485402926,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,22,0.5408,0.273106,29.3787314,3.21657841,33.0347316,0.116709565,2.95783425,0.128579688,0.0134549049,0.11616699,0.00054257453,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,23,0.5408,0.293659,29.2681247,3.30718492,33.0347316,0.121329629,3.04381371,0.128584472,0.0134571064,0.120722976,0.000606652382,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,24,0.5408,0.314233,29.1533325,3.40197664,33.0347316,0.126385264,3.13354302,0.128589223,0.0134591306,0.125706759,0.000678505827,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,25,0.5408,0.33483,29.0339784,3.5013302,33.0347316,0.13194255,3.22733273,0.128593939,0.0134609879,0.131183413,0.000759136992,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,26,0.5408,0.355452,28.9096198,3.60568814,33.0347316,0.138085578,3.32554125,0.128598621,0.0134626884,0.137235868,0.000849709824,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,27,0.5408,0.376101,28.7797287,3.71557851,33.0347316,0.144925311,3.42858569,0.128603265,0.0134642428,0.143973722,0.000951589303,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
