source_file,simulation_id,scan_point,band gap[eV],electron affinity[eV],v(V),jtot(mA/cm2),j_total_rec(mA/cm2),j_total_gen(mA/cm2),jbulk(mA/cm2),jifr(mA/cm2),jminor_left(mA/cm2),jminor_right(mA/cm2),j_SRH(mA/cm2),j_Radiative(mA/cm2),j_Auger(mA/cm2),Voc,Jsc,FF,eta,V_MPP,J_MPP
bandGap+ElectronAffinity.iv,1,58,1.2,3.97,1.287313,-29.4625301,63.0780749,34.7682332,0.685903121,62.2375293,0.128999137,0.0256433695,0.666519199,0.0193839213,0.0,0.651845,32.40330991,53.3602,11.2707,0.42848,26.30394737
bandGap+ElectronAffinity.iv,1,59,1.2,3.97,1.307668,-29.5335139,63.1290587,34.7682332,0.686051598,62.2882975,0.128999172,0.025710449,0.66666212,0.0193894782,0.0,0.651845,32.40330991,53.3602,11.2707,0.42848,26.30394737
bandGap+ElectronAffinity.iv,1,60,1.2,3.97,1.328015,-29.6029301,63.1784749,34.7682332,0.686195351,62.337504,0.128999206,0.025776335,0.66680049,0.019394861,0.0,0.651845,32.40330991,53.3602,11.2707,0.42848,26.30394737
bandGap+ElectronAffinity.iv,1,61,1.2,3.97,1.348355,-29.6709566,63.2265013,34.7682332,0.686334902,62.385325,0.128999239,0.0258421228,0.666934813,0.0194000888,0.0,0.651845,32.40330991,53.3602,11.2707,0.42848,26.30394737
bandGap+ElectronAffinity.iv,2,1,1.2,4.066,-0.164892,32.9783147,1.77682886,34.7682332,0.0556517678,1.56341453,0.128535815,0.0292267524,0.055114837,0.000536930784,0.0,0.741823,32.53888716,56.8135,13.7137,0.503934,27.21328474
bandGap+ElectronAffinity.iv,2,2,1.2,4.066,-0.144645,32.9289872,1.80615519,34.7682332,0.0571568832,1.59122366,0.128545611,0.0292290313,0.0565896467,0.000567236466,0.0,0.741823,32.53888716,56.8135,13.7137,0.503934,27.21328474
bandGap+ElectronAffinity.iv,2,3,1.2,4.066,-0.124393,32.8785215,1.8366209,34.7682332,0.0587547495,1.62007947,0.128555453,0.0292312298,0.0581547404,0.000600009115,0.0,0.741823,32.53888716,56.8135,13.7137,0.503934,27.21328474
bandGap+ElectronAffinity.iv,2,4,1.2,4.066,-0.104134,32.8268408,1.86830157,34.7682332,0.0604541353,1.65004874,0.128565343,0.0292333485,0.0598186279,0.00063550731,0.0,0.741823,32.53888716,56.8135,13.7137,0.503934,27.21328474
bandGap+ElectronAffinity.iv,2,5,1.2,4.066,-0.083869,32.7738623,1.90128001,34.7682332,0.0622648858,1.68120446,0.128575283,0.0292353886,0.0615908637,0.000674022165,0.0,0.741823,32.53888716,56.8135,13.7137,0.503934,27.21328474
bandGap+ElectronAffinity.iv,2,6,1.2,4.066,-0.063597,32.719495,1.93564728,34.7682332,0.064198079,1.71362657,0.128585277,0.0292373509,0.0634821971,0.000715881928,0.0,0.741823,32.53888716,56.8135,13.7137,0.503934,27.21328474
bandGap+ElectronAffinity.iv,2,7,1.2,4.066,-0.043318,32.6636385,1.97150373,34.7682332,0.0662662096,1.74740295,0.128595326,0.0292392368,0.0655047522,0.000761457409,0.0,0.741823,32.53888716,56.8135,13.7137,0.503934,27.21328474
bandGap+ElectronAffinity.iv,2,8,1.2,4.066,-0.023031,32.6061819,2.00896031,34.7682332,0.0684834062,1.78263042,0.128605434,0.0292410473,0.0676722379,0.000811168288,0.0,0.741823,32.53888716,56.8135,13.7137,0.503934,27.21328474
bandGap+ElectronAffinity.iv,2,9,1.2,4.066,-0.002735,32.5470021,2.04814002,34.7682332,0.0708656872,1.81941595,0.128615603,0.0292427837,0.0700001967,0.00086549047,0.0,0.741823,32.53888716,56.8135,13.7137,0.503934,27.21328474
bandGap+ElectronAffinity.iv,2,10,1.2,4.066,0.01757,32.4859624,2.08917967,34.7682332,0.073431264,1.85787813,0.128625837,0.0292444474,0.0725062993,0.000924964677,0.0,0.741823,32.53888716,56.8135,13.7137,0.503934,27.21328474
bandGap+ElectronAffinity.iv,2,11,1.2,4.066,0.037885,32.42291,2.13223194,34.7682332,0.0762009023,1.89814886,0.12863614,0.0292460399,0.0752106958,0.000990206507,0.0,0.741823,32.53888716,56.8135,13.7137,0.503934,27.21328474
bandGap+ElectronAffinity.iv,2,12,1.2,4.066,0.058212,32.357674,2.17746786,34.7682332,0.0791983563,1.94037543,0.128646515,0.0292475628,0.0781364381,0.00106191825,0.0,0.741823,32.53888716,56.8135,13.7137,0.503934,27.21328474
